scenario,seed,status,error,avg_waiting_time,avg_travel_time,avg_queue_length,p95_queue_length,completed_trips,throughput,gridlock_duration,gridlock_events,inference_latency_ms,cpu_percent,peak_memory_mb,total_departed,episode_time
noisy_sensors,10500,completed,,264.55873493975906,243.6977687626775,0.7624436020851135,4.0,493,986.0,0.0,0,0.5449,123.7,387.1,664,1800.0
noisy_sensors,10501,completed,,255.1125541125541,256.3470919324578,0.7673307061195374,4.0,533,1066.0,0.0,0,0.478,121.9,389.3,693,1800.0
normal,10000,completed,,345.6934523809524,263.89115646258506,1.0082725286483765,6.0,441,882.0,0.0,0,0.4533,121.4,384.8,672,1800.0
normal,10001,completed,,407.92227204783256,341.8957345971564,1.1844618320465088,7.0,422,844.0,0.0,0,0.4836,121.1,385.0,669,1800.0
