scenario,seed,status,error,avg_waiting_time,avg_travel_time,avg_queue_length,p95_queue_length,completed_trips,throughput,gridlock_duration,gridlock_events,inference_latency_ms,cpu_percent,peak_memory_mb,total_departed,episode_time
missing_sensors,10615,completed,,79.0672131147541,178.6033613445378,0.20933593809604645,1.0,595,1190.0,0.0,0,0.3132,133.5,388.1,610,1800.0
missing_sensors,10616,completed,,128.4017094017094,180.63117283950618,0.3912239670753479,2.0,648,1296.0,0.0,0,0.4107,124.9,387.1,702,1800.0
missing_sensors,10617,completed,,88.66819571865443,185.71677215189874,0.2516883611679077,2.0,632,1264.0,0.0,0,0.525,121.9,388.2,654,1800.0
missing_sensors,10618,completed,,92.13075780089153,178.86153846153846,0.26911458373069763,2.0,650,1300.0,0.0,0,0.3183,135.6,387.3,673,1800.0
missing_sensors,10619,completed,,119.58858858858859,202.1904,0.345685750246048,2.0,625,1250.0,0.0,0,0.3077,130.4,388.4,666,1800.0
noisy_sensors,10500,completed,,71.12048192771084,181.4712990936556,0.204965278506279,1.0,662,1324.0,0.0,0,0.3498,133.9,388.1,664,1800.0
noisy_sensors,10501,completed,,65.13852813852814,175.55122655122656,0.19592447578907013,1.0,693,1386.0,0.0,0,0.3239,133.0,386.9,693,1800.0
noisy_sensors,10502,completed,,65.03652968036529,175.23018292682926,0.18545572459697723,1.0,656,1312.0,0.0,0,0.3723,126.4,388.2,657,1800.0
noisy_sensors,10503,completed,,65.96212121212122,173.62215477996966,0.18895399570465088,1.0,659,1318.0,0.0,0,0.3463,132.1,387.0,660,1800.0
noisy_sensors,10504,completed,,70.77650429799426,181.68201438848922,0.21441839635372162,1.0,695,1390.0,0.0,0,0.3911,131.6,388.3,698,1800.0
noisy_sensors,10505,completed,,70.51301684532925,181.31230769230768,0.19984808564186096,1.0,650,1300.0,0.0,0,0.3796,131.2,387.0,653,1800.0
noisy_sensors,10506,completed,,73.74375,183.7708006279435,0.20484374463558197,1.0,637,1274.0,0.0,0,0.3463,124.8,388.5,640,1800.0
noisy_sensors,10507,completed,,73.6055900621118,187.11059190031153,0.20573784410953522,1.0,642,1284.0,0.0,0,0.356,129.6,387.2,644,1800.0
noisy_sensors,10508,completed,,65.7378223495702,176.60688665710185,0.19915364682674408,1.0,697,1394.0,0.0,0,0.3224,130.5,388.8,698,1800.0
noisy_sensors,10509,completed,,70.15,180.81518624641834,0.21312934160232544,1.0,698,1396.0,0.0,0,0.3226,133.1,387.5,700,1800.0
noisy_sensors,10510,completed,,72.48387096774194,183.31090174966351,0.23406249284744263,1.0,743,1486.0,0.0,0,0.3476,129.6,389.0,744,1800.0
noisy_sensors,10511,completed,,65.15625,172.6244131455399,0.1809895783662796,1.0,639,1278.0,0.0,0,0.3409,134.1,387.7,640,1800.0
noisy_sensors,10512,completed,,65.71234939759036,175.03318250377075,0.18937933444976807,1.0,663,1326.0,0.0,0,0.3978,120.0,383.8,664,1800.0
noisy_sensors,10513,completed,,67.02928257686676,176.98531571218797,0.19870226085186005,1.0,681,1362.0,0.0,0,0.4078,120.5,383.7,683,1800.0
noisy_sensors,10514,completed,,66.05022831050228,175.5564024390244,0.18834635615348816,1.0,656,1312.0,0.0,0,0.4448,129.9,388.0,657,1800.0
noisy_sensors,10515,completed,,74.35680751173709,187.679186228482,0.2062239646911621,1.0,639,1278.0,0.0,0,0.3742,130.2,388.0,639,1800.0
noisy_sensors,10516,completed,,65.59732540861813,174.58035714285714,0.19161024689674377,1.0,672,1344.0,0.0,0,0.4885,129.7,388.0,673,1800.0
noisy_sensors,10517,completed,,69.43631039531479,179.0791788856305,0.2058376669883728,1.0,682,1364.0,0.0,0,0.4295,128.6,388.1,683,1800.0
noisy_sensors,10518,completed,,70.57692307692308,179.91499227202473,0.1991102397441864,1.0,647,1294.0,0.0,0,0.3381,130.8,388.0,650,1800.0
noisy_sensors,10519,completed,,67.4310595065312,175.3582966226138,0.20164930820465088,1.0,681,1362.0,0.0,0,0.3412,130.8,388.1,689,1800.0
normal,10000,completed,,19.33234421364985,123.27299703264094,0.05655381828546524,1.0,674,1348.0,0.0,0,0.3488,124.8,383.6,674,1800.0
normal,10001,completed,,20.409566517189834,125.3034379671151,0.05926215276122093,1.0,669,1338.0,0.0,0,0.3426,133.6,383.5,669,1800.0
normal,10002,completed,,20.45668135095448,127.54331864904552,0.06046440824866295,1.0,681,1362.0,0.0,0,0.5035,132.3,387.7,681,1800.0
normal,10003,completed,,22.50899031811895,127.96680497925311,0.07063367962837219,1.0,723,1446.0,0.0,0,0.41,135.2,392.6,723,1800.0
normal,10004,completed,,20.54237288135593,124.93079096045197,0.06312499940395355,1.0,708,1416.0,0.0,0,0.5005,132.8,387.8,708,1800.0
normal,10005,completed,,19.659541984732826,125.34809160305343,0.05588975548744202,1.0,655,1310.0,0.0,0,0.4363,135.2,392.7,655,1800.0
normal,10006,completed,,19.07078313253012,124.26807228915662,0.054960936307907104,1.0,664,1328.0,0.0,0,0.3297,129.8,387.8,664,1800.0
