scenario,seed,avg_wait,avg_travel_time,avg_queue,p95_queue,completed_trips,throughput,gridlock_duration,gridlock_events,policy_inference_latency_ms,cpu_usage,peak_memory_mb,failed,incomplete,steps,gridlock_pct,fail_reason,spawned,final_vehicles
normal,1000,4.126874191012513,83.38906752411576,0.14900173611111112,0.9474999999999992,311,0.8638888888888889,0.0,0,0.01264228846290886,99.42666666666666,718.40234375,False,False,360,0.0,,441,130
normal,1001,4.284907424091856,86.58308157099698,0.15559895833333334,0.9211111111111105,331,0.9194444444444444,0.0,0,0.012932253513200622,100.22694444444444,718.43359375,False,False,360,0.0,,476,145
normal,1002,4.160635283084051,86.1128526645768,0.15334201388888888,0.921805555555555,319,0.8861111111111111,0.0,0,0.011312567029462015,100.7275,718.453125,False,False,360,0.0,,444,125
normal,1003,4.231536466897481,84.01823708206688,0.14370659722222223,0.8984722222222217,329,0.9138888888888889,0.0,0,0.010268935855290491,99.23527777777777,718.4609375,False,False,360,0.0,,445,116
normal,1004,4.517003199874359,92.14465408805032,0.16640625,1.0006944444444434,318,0.8833333333333333,0.0,0,0.010690655967159223,100.08027777777778,718.484375,False,False,360,0.0,,450,132
normal,1005,3.972281837555421,79.82890855457227,0.15069444444444444,0.9487499999999992,339,0.9416666666666667,0.0,0,0.01093143122893202,100.09444444444445,718.50390625,False,False,360,0.0,,471,132
normal,1006,4.6197804837039484,89.84516129032258,0.16440972222222222,0.9987499999999992,310,0.8611111111111112,0.0,0,0.01106412818343314,100.31777777777778,718.51953125,False,False,360,0.0,,433,123
normal,1007,3.9286220180126827,78.66381766381767,0.15269097222222222,0.910416666666666,351,0.975,0.0,0,0.011251348981507666,101.54527777777778,718.53515625,False,False,360,0.0,,483,132
normal,1008,3.898988892275913,81.28353658536585,0.148046875,0.9186111111111105,328,0.9111111111111111,0.0,0,0.011360968033437125,100.63583333333334,718.55078125,False,False,360,0.0,,451,123
normal,1009,4.023118448019102,82.07594936708861,0.13463541666666667,0.8745833333333327,316,0.8777777777777778,0.0,0,0.011424314814373955,99.6936111111111,718.5546875,False,False,360,0.0,,452,136
normal,1010,3.904703361906717,82.6,0.1482638888888889,0.9133333333333326,320,0.8888888888888888,0.0,0,0.010869066308158735,100.65694444444445,718.57421875,False,False,360,0.0,,450,130
normal,1011,4.967540033739888,86.66363636363636,0.173828125,0.9969444444444436,330,0.9166666666666666,0.0,0,0.011764503202963775,99.3788888888889,718.58984375,False,False,360,0.0,,452,122
normal,1012,4.224642986021257,85.0749279538905,0.16111111111111112,0.9684722222222215,347,0.9638888888888889,0.0,0,0.011078896720088474,99.60166666666666,718.60546875,False,False,360,0.0,,466,119
